,Mkt-RF,SMB,HML,RF
20180803,0.31,-1.06,0.55,0.007
20180806,0.46,0.27,-0.32,0.007
20180807,0.29,0.01,-0.13,0.007
20180808,-0.04,-0.13,0.23,0.007
20180809,-0.05,0.38,-0.32,0.007
20180810,-0.6,0.43,-0.23,0.007
20180813,-0.46,-0.16,-0.31,0.007
20180814,0.69,0.32,0.2,0.007
20180815,-0.91,-0.55,-0.14,0.007
20180816,0.86,-0.08,0.27,0.007
20180817,0.3,0.08,0.04,0.007
20180820,0.25,0.12,0.17,0.007
20180821,0.33,0.87,0.15,0.007
20180822,0.05,0.41,-0.45,0.007
20180823,-0.19,-0.05,-0.33,0.007
20180824,0.62,-0.04,-0.51,0.007
20180827,0.74,-0.69,-0.11,0.007
20180828,-0.01,-0.12,-0.29,0.007
20180829,0.56,-0.04,-0.59,0.007
20180830,-0.41,0.3,-0.43,0.007
20180831,0.08,0.5,-0.43,0.007
20180904,-0.11,-0.33,-0.08,0.008
20180905,-0.41,-0.19,0.69,0.008
20180906,-0.44,-0.39,-0.13,0.008
20180907,-0.18,0.08,-0.21,0.008
20180910,0.23,0.1,-0.33,0.008
20180911,0.37,-0.3,-0.21,0.008
20180912,0.03,-0.09,-0.06,0.008
20180913,0.45,-0.44,-0.39,0.008
20180914,0.12,0.26,0.25,0.008
20180917,-0.71,-0.47,0.92,0.008
20180918,0.57,0.07,-0.53,0.008
20180919,0.06,-0.62,1.17,0.008
20180920,0.77,0.3,-0.18,0.008
20180921,-0.13,-0.44,0.38,0.008
20180924,-0.31,0.03,-0.87,0.008
20180925,-0.05,0.3,-0.44,0.008
20180926,-0.4,-0.4,-0.58,0.008
20180927,0.27,-0.26,-0.57,0.008
20180928,-0.03,0.4,-0.19,0.008
20181001,0.16,-1.63,0.37,0.008
20181002,-0.21,-1,0.66,0.008
20181003,0.2,0.88,0.44,0.008
20181004,-0.93,-1.04,1.54,0.008
20181005,-0.64,-0.4,0.39,0.008
20181008,-0.18,-0.38,1.19,0.008
20181009,-0.18,-0.26,0.17,0.008
20181010,-3.33,0.28,1.14,0.008
20181011,-1.96,0.43,-0.89,0.008
20181012,1.38,-0.88,-1.69,0.008
20181015,-0.48,0.92,0.47,0.008
20181016,2.24,0.68,-1.45,0.008
20181017,-0.08,-0.64,0.18,0.008
20181018,-1.54,-0.57,0.52,0.008
20181019,-0.25,-1.32,0.8,0.008
20181022,-0.38,0.44,-1.19,0.008
20181023,-0.62,-0.14,-0.33,0.008
20181024,-3.33,-0.88,0.62,0.008
20181025,1.93,0.47,-0.72,0.008
20181026,-1.65,0.56,0.36,0.008
20181029,-0.77,-0.29,1.63,0.008
20181030,1.66,0.37,0.11,0.008
20181031,1.22,-0.63,-0.69,0.008
20181101,1.29,1.3,-1.1,0.008
20181102,-0.53,0.8,0.64,0.008
20181105,0.4,-0.98,1.55,0.008
20181106,0.58,-0.15,0.04,0.008
20181107,2.11,-0.33,-1.03,0.008
20181108,-0.28,-0.24,0.22,0.008
20181109,-1.04,-0.91,0.38,0.008
20181112,-2.06,0,0.96,0.008
20181113,-0.13,-0.1,0.07,0.008
20181114,-0.77,-0.02,-0.2,0.008
20181115,1.18,0.37,-0.55,0.008
20181116,0.15,0,-0.01,0.008
20181119,-1.88,-0.66,2.32,0.008
20181120,-1.85,0.14,-0.63,0.008
20181121,0.51,0.97,-0.3,0.008
20181123,-0.55,0.79,-0.57,0.008
20181126,1.62,-0.67,-0.18,0.008
20181127,0.11,-1.07,0.27,0.008
20181128,2.42,0.48,-1.27,0.008
20181129,-0.22,-0.12,-0.17,0.008
20181130,0.78,-0.35,-0.38,0.008
20181203,1.13,-0.07,-0.7,0.01
20181204,-3.45,-0.97,-0.12,0.01
20181206,-0.16,0.1,-1,0.01
20181207,-2.36,0.23,1.29,0.01
20181210,0.1,-0.22,-1.57,0.01
20181211,-0.08,-0.08,-0.35,0.01
20181212,0.68,0.55,-0.13,0.01
20181213,-0.26,-1.5,-0.17,0.01
20181214,-1.89,-0.1,0.59,0.01
20181217,-2.13,-0.26,0.98,0.01
20181218,-0.03,0,-0.55,0.01
20181219,-1.58,-0.65,0.17,0.01
20181220,-1.62,-0.23,0.77,0.01
20181221,-2.17,-0.58,0.83,0.01
20181224,-2.55,0.99,-0.45,0.01
20181226,5.06,-0.01,-1.05,0.01
20181227,0.78,-0.67,-0.08,0.01
20181228,-0.03,0.74,0.25,0.01
