Date,Open,High,Low,Close,Adj Close,Volume
2018/1/2,108.949997,111.809998,108.559998,111.800003,110.054825,11014300
2018/1/3,112.190002,113.190002,111.449997,112.279999,110.527321,9237900
2018/1/4,112.949997,113,111.629997,112.230003,110.478111,7417400
2018/1/5,112.68,112.68,111.239998,111.620003,109.877625,6008300
2018/1/8,110.889999,111.279999,109.540001,110.019997,108.302597,8052600
2018/1/9,110.129997,110.860001,109.860001,109.940002,108.223854,5838000
2018/1/10,109.959999,110.5,109.010002,109.470001,107.761185,6060000
2018/1/11,110.25,111.080002,109.510002,110.989998,109.257462,6427000
2018/1/12,111.32,112.720001,111,112.470001,110.714363,5899900
2018/1/16,113.07,113.160004,110.620003,110.690002,108.962143,8069200
2018/1/17,111.199997,112.209999,110.57,111.970001,110.22216,7023700
2018/1/18,111.739998,111.989998,110.199997,110.419998,108.696358,8070900
2018/1/19,110.970001,111.089996,109.839996,110.589996,108.863701,10514300
2018/1/22,110.269997,111.559998,110.059998,111.099998,109.365746,8073600
2018/1/23,110.269997,111.139999,109.889999,110.410004,108.686516,7477300
2018/1/24,110.959999,111.43,110.290001,110.5,108.775108,7211800
2018/1/25,110.599998,111.82,110.120003,110.550003,108.824333,6291000
2018/1/26,110.809998,112.529999,110.669998,112.190002,110.438728,7743800
2018/1/29,112.099998,112.449997,111.239998,111.540001,109.798874,6847800
2018/1/30,111.419998,112.419998,110.099998,110.110001,108.391197,8393900
2018/1/31,110.080002,110.120003,108.470001,108.669998,106.973671,9841400
2018/2/1,108.620003,110.650002,107.360001,110.489998,108.765259,9518900
2018/2/2,109.949997,110.580002,108.449997,108.699997,107.003204,9947700
2018/2/5,107.099998,108.629997,104.010002,104.699997,103.065643,15107900
2018/2/6,102.879997,106.199997,101.760002,106.169998,104.512703,17765100
2018/2/7,107.830002,108.029999,104.410004,104.760002,103.12471,12445000
2018/2/8,105.470001,105.82,101.190002,101.349998,99.767937,12667500
2018/2/9,102.550003,103.75,100.260002,103.089996,101.480774,12479700
2018/2/12,103.93,104.639999,102.099998,103.389999,101.776093,9584700
2018/2/13,102.639999,104.309998,102.400002,104.120003,102.494705,8447900
2018/2/14,103.489998,104.760002,102.690002,104.599998,102.967201,7425700
2018/2/15,105.360001,105.57,103.93,105.18,103.538155,6494700
2018/2/16,105.190002,107.349998,105.190002,106.529999,104.867073,8746400
2018/2/20,106.370003,107.57,105.519997,105.980003,104.325668,6734500
2018/2/21,106,106.910004,105.019997,105.050003,103.410179,6743300
2018/2/22,105.309998,106.010002,104.93,105.239998,103.597214,4462200
2018/2/23,105.75,107.360001,105.43,107.25,105.575844,6101100
